epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,7254.24,1.64913,1.45785,1.80094,0.76159,0.59817,0.70391,0.42432,1.45028,1.24362,1.71214,0.0004754,0.0004754,0.0004754
156,7300.43,1.66146,1.48461,1.80222,0.73264,0.58828,0.69711,0.41902,1.45439,1.24253,1.69422,0.0004655,0.0004655,0.0004655
157,7347.08,1.61321,1.43453,1.75315,0.74759,0.58532,0.70267,0.41811,1.45233,1.23489,1.69642,0.0004556,0.0004556,0.0004556
158,7393.59,1.57472,1.3826,1.78047,0.77291,0.6,0.71095,0.43547,1.40429,1.23717,1.6575,0.0004457,0.0004457,0.0004457
159,7440.08,1.59753,1.39093,1.75635,0.74877,0.61284,0.70388,0.43984,1.38981,1.22021,1.65139,0.0004358,0.0004358,0.0004358
160,7486.44,1.57491,1.43691,1.7515,0.78773,0.59083,0.70135,0.43792,1.3893,1.20504,1.65876,0.0004259,0.0004259,0.0004259
161,7532.61,1.5948,1.42588,1.76025,0.74737,0.62569,0.71502,0.45496,1.37978,1.16196,1.65396,0.000416,0.000416,0.000416
162,7578.89,1.59679,1.42454,1.77619,0.74624,0.62018,0.71714,0.44318,1.4106,1.21517,1.66386,0.0004061,0.0004061,0.0004061
163,7625.02,1.57785,1.42641,1.75316,0.77575,0.62203,0.71994,0.4424,1.4135,1.2389,1.67005,0.0003962,0.0003962,0.0003962
164,7671.06,1.55386,1.41067,1.76506,0.75893,0.61101,0.7134,0.44283,1.42022,1.20725,1.67887,0.0003863,0.0003863,0.0003863
165,7717.11,1.58587,1.3832,1.78183,0.7705,0.60368,0.71297,0.43554,1.4297,1.22177,1.68408,0.0003764,0.0003764,0.0003764
166,7763.05,1.56573,1.39896,1.76851,0.82286,0.57982,0.72308,0.44414,1.39935,1.20498,1.66062,0.0003665,0.0003665,0.0003665
167,7809.29,1.54313,1.36285,1.72242,0.79757,0.61101,0.73856,0.4604,1.36644,1.15284,1.63069,0.0003566,0.0003566,0.0003566
168,7856.01,1.56428,1.36915,1.72855,0.79176,0.61393,0.73517,0.47161,1.34146,1.12325,1.61769,0.0003467,0.0003467,0.0003467
169,7902.45,1.55066,1.39986,1.76058,0.83953,0.62395,0.74205,0.48177,1.31637,1.11626,1.60593,0.0003368,0.0003368,0.0003368
170,7948.78,1.51019,1.36121,1.73126,0.81768,0.63365,0.74266,0.48132,1.32722,1.12021,1.61247,0.0003269,0.0003269,0.0003269
171,7995.22,1.52606,1.33023,1.73605,0.81715,0.61468,0.74367,0.47737,1.32849,1.12251,1.60776,0.000317,0.000317,0.000317
172,8041.63,1.50048,1.32119,1.72153,0.77997,0.6367,0.74885,0.47175,1.36131,1.13196,1.62484,0.0003071,0.0003071,0.0003071
173,8087.94,1.54285,1.37597,1.72765,0.75772,0.63119,0.74567,0.47009,1.38176,1.14247,1.6323,0.0002972,0.0002972,0.0002972
174,8134.64,1.52658,1.34236,1.72581,0.83586,0.62936,0.75785,0.48747,1.33983,1.10209,1.61178,0.0002873,0.0002873,0.0002873
175,8181.02,1.50992,1.33099,1.69789,0.84611,0.61539,0.75633,0.48483,1.3401,1.10119,1.61677,0.0002774,0.0002774,0.0002774
176,8226.97,1.53528,1.34063,1.71307,0.82011,0.62385,0.74569,0.46132,1.37815,1.13431,1.64389,0.0002675,0.0002675,0.0002675
177,8273.39,1.4863,1.26936,1.69734,0.82062,0.64587,0.75435,0.48178,1.33217,1.10935,1.61239,0.0002576,0.0002576,0.0002576
178,8319.58,1.48353,1.30775,1.72046,0.84994,0.6422,0.77283,0.50834,1.2947,1.05191,1.57833,0.0002477,0.0002477,0.0002477
